Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1986.4861533436183
FDW14,OUT017,1060.3143211742508
NCN55,OUT010,2234.4702856591034
FDQ58,OUT017,2086.150526267397
FDY38,OUT027,5052.670570056233
FDH56,OUT046,1914.9351609144119
FDL48,OUT018,1322.7246826632072
FDC48,OUT027,2780.1879500032014
FDN33,OUT045,1324.573836120343
FDA36,OUT017,2609.263178944949
FDT44,OUT017,1375.9889132944304
FDQ56,OUT045,1139.5863282661112
NCC54,OUT019,2538.034979789687
FDU11,OUT049,2094.5488764693428
DRL59,OUT013,559.2033338802794
FDM24,OUT049,2629.9058417321103
FDI57,OUT045,2974.5548807694986
DRC12,OUT018,3536.94080111891
NCM42,OUT027,3200.032021897565
FDA46,OUT010,1330.7524755042223
FDA31,OUT013,2338.2074915955363
NCJ31,OUT035,3358.499794215192
FDG52,OUT046,772.9240784796762
NCL19,OUT019,1238.6362801512655
FDS10,OUT035,2670.002887803539
FDX22,OUT010,1889.5123881349778
NCF19,OUT035,604.6336519187562
NCE06,OUT046,2501.4540410535624
DRC27,OUT046,3851.0762295052828
FDE21,OUT035,1699.799323835438
NCR42,OUT019,-536.0483208616943
FDX51,OUT018,3669.9590139060747
NCR06,OUT018,1261.8453183406486
FDU31,OUT027,4945.145623484912
FDU59,OUT017,2111.070805484815
FDR03,OUT027,4767.780003888116
FDS49,OUT027,2666.431957863035
FDD48,OUT010,335.9321803963476
NCF18,OUT017,2543.6694172742905
NCD43,OUT027,3120.095467773109
NCD54,OUT018,2793.3905985815345
FDY19,OUT010,336.98414472404033
NCY54,OUT017,2123.574968400508
NCL19,OUT018,2838.839766045262
FDP23,OUT010,1928.8678816363895
FDC26,OUT013,1335.3433557540907
FDR14,OUT010,-956.8758615137524
NCS41,OUT035,2687.942893828173
FDF41,OUT035,3577.2214706478644
FDU34,OUT046,1949.532826054713
DRH11,OUT046,904.5322316034849
FDM03,OUT013,1247.8659444744685
FDS31,OUT017,2505.163156616102
FDJ20,OUT017,1498.0772413115255
FDV44,OUT027,4470.869561201808
FDG02,OUT049,3255.999501963147
FDA09,OUT013,2633.8571020395752
FDT04,OUT013,211.85887919684592
FDL58,OUT019,3018.706644381687
FDE52,OUT045,1391.6547718633683
FDW12,OUT035,2185.22759303306
FDL51,OUT017,3026.1412112549683
NCY42,OUT027,3713.45447362863
FDR07,OUT017,1078.6404217349063
FDN40,OUT045,2218.991415678233
FDB35,OUT027,2891.2431538357255
FDA22,OUT017,2141.6009555997193
NCL06,OUT046,4102.43683188587
FDI35,OUT013,2533.4540099074584
NCW42,OUT045,3326.8626803753905
NCX06,OUT049,3102.9598493859366
FDC37,OUT027,3172.3094500275943
FDZ14,OUT018,2505.7071909667493
DRG49,OUT049,4035.441987959108
NCG06,OUT045,3912.934191361189
DRC36,OUT045,2658.2035292155197
FDV21,OUT019,534.1871915747734
FDB53,OUT046,2226.188032934664
DRP47,OUT019,2607.5767236291526
FDA14,OUT013,1942.0942787231666
DRC24,OUT035,2250.012229621038
FDW21,OUT018,2227.3329035683882
NCH29,OUT046,1596.7114527059766
FDU58,OUT013,2731.747128513177
FDY27,OUT017,2419.577370135338
FDV56,OUT035,1652.4031205119709
FDT59,OUT046,3701.143203155624
FDB23,OUT046,3681.503711843052
FDR49,OUT045,478.02240111378387
FDB03,OUT010,2045.0779741049819
FDN39,OUT045,2606.648785934307
FDX02,OUT027,4919.507496489075
FDQ16,OUT027,3145.5322862457942
FDU35,OUT018,2044.3064502769976
NCT29,OUT013,1583.6735382690626
FDZ27,OUT046,860.0127504818529
FDN57,OUT017,1790.6103973340641
FDA03,OUT018,2865.093657023851
FDZ36,OUT045,2827.761401812364
NCU05,OUT013,954.7791950777887
FDT39,OUT018,3009.236503424194
FDK60,OUT017,1124.3226551433431
FDZ25,OUT017,2349.9426030751356
FDG12,OUT046,2090.372187055552
DRB01,OUT019,1820.7964897138445
NCC43,OUT027,5290.722121217907
FDX13,OUT019,2814.066118236526
FDM22,OUT049,1139.8836119690404
FDJ03,OUT027,2242.19444891518
FDU14,OUT018,4501.824535632929
FDB33,OUT010,1068.9768730475334
FDP27,OUT046,2910.3945405889976
FDO38,OUT010,-364.71675752518587
FDE28,OUT027,4999.1329310856845
FDO27,OUT035,1179.6160097440115
DRL23,OUT027,3175.509470018824
FDS28,OUT046,934.6461700030904
FDX24,OUT013,1211.8306509735667
FDZ02,OUT035,1423.9780625738276
FDL46,OUT045,1699.6871649523873
FDS60,OUT027,4268.644434069966
NCO06,OUT017,36.40076982606831
FDO16,OUT035,1220.0478748314304
FDC60,OUT049,1573.6888672088744
FDA48,OUT018,3864.6129082745592
FDZ36,OUT027,4504.566095618073
FDK27,OUT045,1837.0855343068947
FDW23,OUT018,1096.9668941184432
FDM14,OUT018,2309.902613270133
FDM14,OUT013,1451.5150185172033
FDW60,OUT018,3422.331545021668
FDE21,OUT013,1562.0940561064008
NCM42,OUT035,1580.7643792954823
FDY59,OUT010,21.357622184428237
DRI49,OUT049,1295.8112634282716
FDT28,OUT019,1250.395925861901
FDQ22,OUT018,1175.4742082069397
FDR60,OUT049,1317.6468751914135
FDC50,OUT019,167.30473216157543
FDV24,OUT013,1993.6602918334788
DRF48,OUT010,1564.293557359591
FDQ47,OUT046,500.65937587200096
DRN36,OUT049,1757.4146277245532
NCY06,OUT035,1822.6668693690576
FDE52,OUT035,1329.1101091263927
NCB54,OUT045,1871.8721749797724
NCF31,OUT035,2214.3733063790046
FDJ08,OUT027,4316.327669490728
NCC07,OUT017,1307.577799239265
NCD19,OUT027,2351.9725037536577
FDL46,OUT049,2171.257058275037
FDM20,OUT045,3747.6720627797877
NCI06,OUT010,1315.295749001601
DRM11,OUT035,3856.010643543069
NCH07,OUT018,2930.6580210211205
FDS23,OUT013,1586.3645558637031
FDO49,OUT018,1388.5818865006731
FDS35,OUT049,1174.8750342213043
DRK39,OUT045,1185.2787338353105
DRI39,OUT049,1083.706414951468
FDV04,OUT017,1981.4915033802426
NCN14,OUT035,2610.0282586411176
FDH08,OUT013,3358.2053765787605
FDS20,OUT046,2899.0884476853767
FDV40,OUT049,1478.5233194487723
FDZ48,OUT010,156.25233428509978
FDS24,OUT027,2859.3516762668555
FDK44,OUT049,2847.2591026930154
FDS48,OUT045,2321.490637701253
FDK26,OUT010,1522.9803334829198
FDD23,OUT045,2884.9635685027197
NCH54,OUT017,2095.1002002731443
NCP14,OUT010,-0.49657902911235396
FDM60,OUT010,-815.7718671953271
FDV24,OUT017,1899.4173067039214
FDH08,OUT018,4151.186809352265
FDS12,OUT027,3254.747058012198
FDR39,OUT027,4208.080440972456
FDP12,OUT027,2097.1637053610657
DRF60,OUT027,5128.842134265329
FDC09,OUT035,1535.599141517443
FDF50,OUT018,3525.149747641558
FDG28,OUT035,3700.684306652789
NCE19,OUT017,415.0848521292937
NCM53,OUT010,176.34157123630075
NCN18,OUT049,2056.28548063322
FDF32,OUT035,2911.748553019191
FDF11,OUT013,3536.3898982400096
DRI59,OUT049,3771.0250626472543
NCG54,OUT035,2431.539041376963
FDM44,OUT046,1662.8752732175953
FDT57,OUT018,4254.153956760654
FDV24,OUT046,2331.987353344577
FDI50,OUT019,2595.123296720237
FDS09,OUT035,643.8489068762588
NCC31,OUT027,3911.3851855007542
FDQ07,OUT019,2294.7395291409243
FDC22,OUT017,2523.7967421071266
