Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1885.3877322439598
FDW14,OUT017,1182.538432179368
NCN55,OUT010,2212.1466837271473
FDQ58,OUT017,2191.805373652872
FDY38,OUT027,5132.5256011386755
FDH56,OUT046,1903.2847527826716
FDL48,OUT018,1381.5063956519878
FDC48,OUT027,2739.981285324128
FDN33,OUT045,1262.8138877389576
FDA36,OUT017,2695.3559000466785
FDT44,OUT017,1584.222710797655
FDQ56,OUT045,1056.197157309091
NCC54,OUT019,2773.3096207356784
FDU11,OUT049,2088.44986657273
DRL59,OUT013,507.6470623615496
FDM24,OUT049,2606.452328075398
FDI57,OUT045,2833.978711666865
DRC12,OUT018,3558.6539206728494
NCM42,OUT027,3179.966800594211
FDA46,OUT010,1438.7543636593268
FDA31,OUT013,2394.9524248276175
NCJ31,OUT035,3432.570822838552
FDG52,OUT046,771.7221197335207
NCL19,OUT019,1280.8618417497855
FDS10,OUT035,2568.6403301215832
FDX22,OUT010,1775.8757629995052
NCF19,OUT035,497.6940913432743
NCE06,OUT046,2531.3094865207345
DRC27,OUT046,3839.4659398451586
FDE21,OUT035,1578.6567150282954
NCR42,OUT019,-441.1971021715699
FDX51,OUT018,3663.604439517846
NCR06,OUT018,1241.2020289958102
FDU31,OUT027,4913.357023133861
FDU59,OUT017,2309.883922839551
FDR03,OUT027,4719.36013435279
FDS49,OUT027,2706.5742226608845
FDD48,OUT010,237.63542117724978
NCF18,OUT017,2732.3017956984177
NCD43,OUT027,3085.25755942839
NCD54,OUT018,2799.9369744994465
FDY19,OUT010,266.6168549488948
NCY54,OUT017,2422.285242134792
NCL19,OUT018,2831.3982831326502
FDP23,OUT010,1845.3448945352347
FDC26,OUT013,1409.2166450550862
FDR14,OUT010,-731.0290467870813
NCS41,OUT035,2607.5715963331468
FDF41,OUT035,3583.75853195912
FDU34,OUT046,1964.8049778627624
DRH11,OUT046,913.343365307695
FDM03,OUT013,1335.4940572121386
FDS31,OUT017,2638.614040436514
FDJ20,OUT017,1690.8688208596855
FDV44,OUT027,4458.30935541461
FDG02,OUT049,3155.787808564058
FDA09,OUT013,2503.1420427852886
FDT04,OUT013,269.8984960624226
FDL58,OUT019,3197.9533759659234
FDE52,OUT045,1211.3825067793102
FDW12,OUT035,2070.4130734093183
FDL51,OUT017,3157.5179682752864
NCY42,OUT027,3677.9904953760933
FDR07,OUT017,1251.0330603736015
FDN40,OUT045,2119.117452213817
FDB35,OUT027,2908.7999742352504
FDA22,OUT017,2333.8643787651645
NCL06,OUT046,4111.759825167318
FDI35,OUT013,2513.0438427860267
NCW42,OUT045,3189.711136078222
NCX06,OUT049,3010.0201904599658
FDC37,OUT027,3151.5347591544223
FDZ14,OUT018,2526.2142455166986
DRG49,OUT049,4007.649423335295
NCG06,OUT045,3741.466715055478
DRC36,OUT045,2500.463968412659
FDV21,OUT019,951.2965011814536
FDB53,OUT046,2318.346597652253
DRP47,OUT019,2949.4215087098264
FDA14,OUT013,1945.4109767139703
DRC24,OUT035,2134.981195269276
FDW21,OUT018,2202.6543489327064
NCH29,OUT046,1560.3077129604517
FDU58,OUT013,2689.673249955383
FDY27,OUT017,2541.678377775835
FDV56,OUT035,1512.8689370460443
FDT59,OUT046,3638.727070550747
FDB23,OUT046,3606.7640858282493
FDR49,OUT045,438.5710697171471
FDB03,OUT010,2227.4290047923587
FDN39,OUT045,2373.9934900949
FDX02,OUT027,4933.36063713036
FDQ16,OUT027,3138.289444521308
FDU35,OUT018,2114.372083384038
NCT29,OUT013,1584.8945477255606
FDZ27,OUT046,799.8375010993141
FDN57,OUT017,1940.6276997346122
FDA03,OUT018,2884.50331300754
FDZ36,OUT045,2688.7351539334104
NCU05,OUT013,949.541969081215
FDT39,OUT018,2987.621940400334
FDK60,OUT017,1315.5949068248196
FDZ25,OUT017,2458.5569274100953
FDG12,OUT046,2009.0569958006563
DRB01,OUT019,2027.8017770173965
NCC43,OUT027,5352.65849757542
FDX13,OUT019,2930.912060415117
FDM22,OUT049,1073.6963215235633
FDJ03,OUT027,2264.4313879172705
FDU14,OUT018,4460.239672587003
FDB33,OUT010,937.9344156832262
FDP27,OUT046,2973.873617479689
FDO38,OUT010,-365.3795888509185
FDE28,OUT027,5102.4557438552265
FDO27,OUT035,1243.6356375963792
DRL23,OUT027,3137.9067203854165
FDS28,OUT046,945.4999221295875
FDX24,OUT013,1149.7294044654627
FDZ02,OUT035,1313.4226720508816
FDL46,OUT045,1557.828298752691
FDS60,OUT027,4248.513981686406
NCO06,OUT017,248.29747601608835
FDO16,OUT035,1088.855467834213
FDC60,OUT049,1585.8576362651356
FDA48,OUT018,3975.0184103887495
FDZ36,OUT027,4415.592816650129
FDK27,OUT045,1639.375421003961
FDW23,OUT018,1162.5992097699204
FDM14,OUT018,2294.9044942502037
FDM14,OUT013,1389.6467269545565
FDW60,OUT018,3405.324964320639
FDE21,OUT013,1513.473726943148
NCM42,OUT035,1467.7621667465505
FDY59,OUT010,-72.92490403769898
DRI49,OUT049,1411.9542552291105
FDT28,OUT019,1403.7553898157926
FDQ22,OUT018,1184.9347598399497
FDR60,OUT049,1361.1226584699928
FDC50,OUT019,495.30541730642244
FDV24,OUT013,2047.3409853398693
DRF48,OUT010,1391.3226724878318
FDQ47,OUT046,608.5348735590717
DRN36,OUT049,1710.017222483667
NCY06,OUT035,1748.7191945045652
FDE52,OUT035,1210.4584142785632
NCB54,OUT045,1722.7709436235705
NCF31,OUT035,2129.776191963031
FDJ08,OUT027,4393.300924726733
NCC07,OUT017,1417.9396362784703
NCD19,OUT027,2314.5438555754454
FDL46,OUT049,2040.5757499613283
FDM20,OUT045,3587.1836391713377
NCI06,OUT010,1261.1298119894086
DRM11,OUT035,3789.869067397027
NCH07,OUT018,3012.702713925708
FDS23,OUT013,1676.791471141969
FDO49,OUT018,1390.7814976950824
FDS35,OUT049,1195.4608704530958
DRK39,OUT045,1037.6494672582012
DRI39,OUT049,1085.3788971790646
FDV04,OUT017,2237.9115498676356
NCN14,OUT035,2575.4809219875865
FDH08,OUT013,3304.02740384252
FDS20,OUT046,2885.913092684798
FDV40,OUT049,1382.6476037602743
FDZ48,OUT010,162.3939911097218
FDS24,OUT027,2867.0348753758863
FDK44,OUT049,2885.983586126297
FDS48,OUT045,2098.458276047232
FDK26,OUT010,1425.8580385049813
FDD23,OUT045,2733.4190199705354
NCH54,OUT017,2263.9424592198875
NCP14,OUT010,88.08227064868288
FDM60,OUT010,-878.3576991184309
FDV24,OUT017,2111.59988092427
FDH08,OUT018,4143.861261384986
FDS12,OUT027,3399.8768426455554
FDR39,OUT027,4256.859490479233
FDP12,OUT027,2086.2012106813436
DRF60,OUT027,5144.6606276124185
FDC09,OUT035,1411.2166794078955
FDF50,OUT018,3651.0044211288996
FDG28,OUT035,3608.924877219113
NCE19,OUT017,607.5437117522013
NCM53,OUT010,131.24868229167816
NCN18,OUT049,1910.8152903530295
FDF32,OUT035,2850.777988871233
FDF11,OUT013,3481.572973016288
DRI59,OUT049,3711.7900974824533
NCG54,OUT035,2382.836702319623
FDM44,OUT046,1618.8267182283362
FDT57,OUT018,4252.341689125079
FDV24,OUT046,2381.779651155881
FDI50,OUT019,2665.090316741407
FDS09,OUT035,588.5980718970109
NCC31,OUT027,3881.8621640679494
FDQ07,OUT019,2499.7776730892415
FDC22,OUT017,2769.978997030846
FDZ56,OUT046,2677.224258659957
FDZ40,OUT019,-101.63004620049236
FDS46,OUT027,3350.618554412823
DRD24,OUT045,1937.7092643222486
FDV45,OUT017,2704.352868253394
FDL26,OUT045,2162.6670866845348
FDA56,OUT018,2499.209044942433
FDN27,OUT046,1874.4191008238804
FDM20,OUT049,4020.0843019965987
FDO16,OUT017,1069.2388296897002
FDL03,OUT035,2855.260714371778
FDE58,OUT046,1854.7846212722561
FDI02,OUT027,3236.3055060702013
NCC55,OUT019,-341.6636005305027
FDR03,OUT018,3834.768582619786
FDB14,OUT017,1234.5416965308812
FDR45,OUT013,3449.782900914288
NCN07,OUT017,1786.5817783429088
FDM51,OUT019,706.4178336234877
FDT52,OUT027,5329.050489668578
FDL26,OUT046,2427.8832476406897
NCZ42,OUT046,3770.1019655191203
DRI47,OUT019,1330.364819391387
FDW40,OUT013,1918.3949972117562
FDN34,OUT046,2720.559914178606
FDS01,OUT035,2545.3231957761964
NCG55,OUT045,1558.2672611350822
FDC11,OUT035,1074.5978429495844
FDX35,OUT018,4137.8093168678
NCB06,OUT046,2514.8762099559735
FDR09,OUT019,3082.9585148561678
FDC53,OUT017,1289.398020657833
FDY45,OUT013,3670.7776504614303
FDA22,OUT010,1065.512521943865
FDE02,OUT035,1213.7413701863989
FDW21,OUT045,1385.311632140681
FDV34,OUT046,1243.9798386419818
FDS59,OUT049,1948.7425042878922
NCW17,OUT017,1761.0849555718596
NCK54,OUT046,1871.2851033165107
FDG17,OUT019,2917.817691789861
FDG35,OUT017,2517.0027916681365
FDD08,OUT010,-952.4943216272941
NCO07,OUT017,3066.136976912756
FDJ10,OUT010,685.9661765873598
FDW36,OUT017,1381.9382711487015
FDW21,OUT010,94.86133253714092
FDY19,OUT017,1598.8349093863949
DRE03,OUT013,428.6321380636049
NCC55,OUT049,790.1611198720279
FDH52,OUT010,-502.3243386241012
FDO09,OUT017,3907.784392107962
FDU43,OUT045,3520.148639049995
FDX09,OUT010,1169.3363163043248
FDH40,OUT019,386.6331120918769
FDW58,OUT017,1397.6766717598678
FDC47,OUT017,3267.6444675490384
NCR41,OUT035,1233.0383004076684
DRG49,OUT035,3556.689834502501
FDC52,OUT027,3901.0679859708553
FDY13,OUT046,1203.1402921664385
FDY35,OUT013,437.45179234934494
FDI35,OUT017,2592.879859740233
NCU18,OUT049,2392.904287989989
FDY33,OUT018,3066.700906162988
FDC15,OUT027,3861.542274672519
FDU01,OUT049,3164.35182530497
NCU42,OUT046,2687.2224497466004
NCV29,OUT018,3342.716999873909
NCY30,OUT017,2613.619387994304
FDQ46,OUT049,1925.2637609125204
FDG58,OUT027,3894.734394974371
FDK33,OUT017,3092.116134521775
NCD07,OUT045,1551.0737529495714
NCX29,OUT027,3693.0063627486006
NCT42,OUT013,2012.2412567081383
DRN59,OUT035,464.9395448416317
FDI44,OUT035,964.6986569523333
FDA45,OUT049,2934.854273435548
FDP31,OUT045,774.7507951292662
FDY01,OUT046,1837.2712014041103
FDT09,OUT018,2695.5653083899597
DRH03,OUT027,2941.0396040159612
FDA36,OUT018,3495.8542561964323
NCF31,OUT017,2150.660069380011
FDG14,OUT049,2607.894873222209
FDG28,OUT027,5341.379768847519
FDU14,OUT049,4097.6055885379665
FDY47,OUT019,1149.6013489616
FDI56,OUT049,1588.0760107294827
DRD01,OUT013,612.4663410769681
FDM22,OUT046,938.7237745310476
FDH33,OUT013,320.9817086018145
DRZ24,OUT013,1528.714978698631
NCQ38,OUT046,1682.0661824144818
FDO16,OUT027,2787.040692449048
FDU07,OUT027,3781.5874722846374
NCB07,OUT013,2703.1481531226345
FDU48,OUT045,1797.128817580408
NCM43,OUT045,2324.740881807612
FDR31,OUT010,753.8295536728556
DRK49,OUT018,1208.187085078163
NCI30,OUT010,2252.4553771272595
DRD60,OUT017,2583.2056849356095
NCG19,OUT046,3659.2696441792077
FDH12,OUT035,1376.7002987166368
FDM32,OUT035,1188.7478779207984
FDM27,OUT035,2197.549805472991
NCU53,OUT027,4050.5584372816293
NCQ18,OUT046,1541.483199915414
FDS10,OUT013,2480.0916599817283
FDB33,OUT027,3922.5304231268938
FDI12,OUT013,1064.8326966321627
NCW42,OUT013,3131.3926161772297
NCC06,OUT018,2571.722532976666
FDW02,OUT017,1784.1621315293892
NCD43,OUT017,1400.167651545632
FDM57,OUT018,1896.2394523982011
FDA58,OUT017,3437.188333683302
FDK56,OUT046,2897.4109003301364
FDP52,OUT045,3390.6783963486982
FDW20,OUT018,2501.8276129035876
FDS52,OUT049,1779.356404467855
NCT29,OUT018,2424.7284052680266
NCL54,OUT013,2435.8528739535955
FDC05,OUT045,2864.470843689681
FDF34,OUT035,2882.817356966808
FDP03,OUT027,3448.9372962687435
FDD32,OUT010,-201.1151107714668
FDZ10,OUT045,1727.357998819817
FDZ40,OUT035,601.0430552869714
FDD51,OUT018,1229.4408674553438
NCY30,OUT019,1854.2350299393088
FDP58,OUT017,3126.3728163341725
FDV49,OUT017,3890.1858895554533
FDY24,OUT019,-98.72551015585918
NCO55,OUT017,1410.706243322455
FDR13,OUT017,1639.214138153388
FDS51,OUT017,732.9913761805701
FDP26,OUT045,1354.9791288797842
NCB54,OUT027,3474.5520005319763
FDF32,OUT017,2828.045926452759
FDN31,OUT018,3502.75590759791
DRM48,OUT017,294.3092593547053
FDN20,OUT049,2835.218803500564
DRL01,OUT046,3699.72866525864
FDV56,OUT049,1929.5588588652681
DRH13,OUT027,3147.880718241473
FDA03,OUT017,2080.8895325838257
FDF47,OUT027,4923.507023456155
FDX32,OUT046,2348.144313020798
FDX57,OUT049,1747.8118111885728
NCA30,OUT045,2682.40094631016
FDO49,OUT013,518.2356852760254
FDL04,OUT019,663.1748614649105
DRM48,OUT035,304.579624677335
FDR16,OUT013,3034.3405654306825
NCC19,OUT018,3552.941351052308
NCE42,OUT045,3422.069429016251
FDY24,OUT017,648.1971508032916
FDH19,OUT049,2930.1296384528296
FDJ46,OUT013,2393.798231702209
FDN45,OUT010,1916.4009750170821
FDY08,OUT035,1934.7679081280348
FDZ37,OUT035,1169.6963318095804
NCT30,OUT045,469.3302862421367
DRY23,OUT018,1244.320887955218
NCZ30,OUT018,2472.554899291986
FDC44,OUT018,2287.735312953537
FDB45,OUT035,1388.493461081223
FDY04,OUT013,2282.5105410081405
FDM27,OUT046,2521.3254079981716
FDZ43,OUT017,3569.7073305597696
FDT39,OUT019,1469.7974538940598
NCC06,OUT019,1030.5323644156842
FDL15,OUT027,3847.859597009744
FDL57,OUT017,3812.8282000279023
FDU08,OUT046,1581.1080487543818
FDK40,OUT017,3891.638322662262
FDQ12,OUT010,2026.0536998852122
FDS48,OUT017,2126.206621648368
FDP09,OUT045,3046.622503554013
FDW21,OUT049,1808.8660221440596
FDY25,OUT035,2583.532769640611
DRE13,OUT017,1102.1146635400144
FDV43,OUT019,-294.48641543730963
FDD22,OUT045,1464.7683947641815
FDM46,OUT019,451.23786586641313
NCO30,OUT010,1340.0349320487544
FDM25,OUT046,2789.6121252959874
NCN41,OUT049,2104.239628266703
FDU24,OUT045,1229.9363736464923
FDZ50,OUT046,2936.3316364073935
FDP45,OUT013,3660.334471720833
NCM54,OUT045,1705.577860909416
FDW10,OUT019,1772.0186609755146
FDP20,OUT017,1751.8548242364022
FDK32,OUT046,2437.007228241352
FDN52,OUT049,1583.6797955654902
FDM58,OUT045,1518.1634611494937
FDZ46,OUT027,3181.439871528488
NCA18,OUT018,2387.491300470119
FDD35,OUT046,1939.0950055544063
NCK31,OUT035,530.6236424577558
FDI40,OUT027,3048.35108673513
FDT50,OUT019,609.8448361294506
NCT06,OUT046,2601.6350715454487
FDT31,OUT035,2689.261488225683
FDT45,OUT049,1017.8869043864484
FDT13,OUT045,2671.445231318179
FDO50,OUT045,1155.244835962809
NCU18,OUT010,638.3990828215774
NCR54,OUT049,3219.272088961835
NCO18,OUT018,3349.34704249109
FDU09,OUT045,665.8996099063249
FDT13,OUT018,3498.1342209320865
FDE09,OUT046,1794.3352840581488
NCK53,OUT019,633.0292128709166
FDG45,OUT049,3505.921126348785
DRH15,OUT035,437.8803668872374
FDO21,OUT019,2607.707623332103
FDD14,OUT027,4275.234813147294
FDC09,OUT046,1691.3763420976225
FDH45,OUT027,2161.7862959495615
FDV32,OUT046,1033.5191306656561
FDG12,OUT035,1682.165969001515
FDS32,OUT013,1928.7525281503522
NCL55,OUT018,4475.43724527208
DRE01,OUT035,3499.574068837882
DRE15,OUT049,1408.7286521716428
NCL42,OUT045,3591.939644083831
FDP31,OUT013,693.0665931735662
FDN33,OUT018,2049.002361791373
FDZ59,OUT046,2633.6485929570517
FDE45,OUT010,1232.4307977380256
FDJ07,OUT013,1549.6689147885622
FDQ45,OUT018,3504.3885177107345
FDM33,OUT027,4858.659863261911
FDO15,OUT010,-307.1480031372462
FDM46,OUT013,1084.0548428577872
FDR03,OUT045,3012.7527294168185
FDY49,OUT018,3220.887418889012
FDQ60,OUT045,1628.2711591536881
FDW10,OUT049,2927.209063432752
FDO51,OUT049,948.530983253733
FDJ40,OUT018,2311.4646823279472
FDS20,OUT018,3405.3276936440775
FDU45,OUT013,1492.1852353624035
FDV02,OUT035,2387.1657959769013
FDN09,OUT046,3810.705309498614
NCM55,OUT027,4358.172267131456
FDN23,OUT018,2866.1302047762883
FDY31,OUT010,716.7876868780359
FDW03,OUT010,173.08091583453302
FDD14,OUT046,2835.4012813044587
FDV23,OUT017,1703.8050723888468
DRI03,OUT045,2497.3067053430077
FDN13,OUT035,1257.5099834171456
FDF45,OUT027,2454.103282509968
FDU46,OUT035,1179.9183048440573
FDB57,OUT049,3718.2015460893517
FDV12,OUT049,1794.8654624918531
FDQ58,OUT013,2059.0071440413294
NCA18,OUT017,1565.184974402639
FDH52,OUT049,1207.0072145718757
FDM24,OUT018,2951.95157861765
NCP43,OUT027,4284.784512092846
NCO18,OUT019,1809.714586067089
FDM32,OUT017,1189.381497557032
