Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1215.64013671875
FDW14,OUT017,1450.06689453125
NCN55,OUT010,1372.90966796875
FDQ58,OUT017,2393.33642578125
FDY38,OUT027,6006.0654296875
FDH56,OUT046,1970.629638671875
FDL48,OUT018,525.3342895507812
FDC48,OUT027,2692.07470703125
FDN33,OUT045,1304.3565673828125
FDA36,OUT017,3338.229736328125
FDT44,OUT017,1885.566162109375
FDQ56,OUT045,1362.851806640625
NCC54,OUT019,414.53143310546875
FDU11,OUT049,2088.323974609375
DRL59,OUT013,856.616455078125
FDM24,OUT049,2112.83740234375
FDI57,OUT045,3829.763671875
DRC12,OUT018,2734.255615234375
NCM42,OUT027,2364.104736328125
FDA46,OUT010,653.2203369140625
FDA31,OUT013,2840.434814453125
NCJ31,OUT035,3605.877197265625
FDG52,OUT046,582.9088745117188
NCL19,OUT019,504.74957275390625
FDS10,OUT035,2638.52490234375
FDX22,OUT010,563.2913208007812
NCF19,OUT035,904.0556030273438
NCE06,OUT046,2386.129638671875
DRC27,OUT046,2887.68896484375
FDE21,OUT035,2116.6689453125
NCR42,OUT019,-55.659210205078125
FDX51,OUT018,2876.725341796875
NCR06,OUT018,361.62799072265625
FDU31,OUT027,5653.20849609375
FDU59,OUT017,2374.243408203125
FDR03,OUT027,5493.56787109375
FDS49,OUT027,2467.49169921875
FDD48,OUT010,501.9175720214844
NCF18,OUT017,3694.28369140625
NCD43,OUT027,2709.5107421875
NCD54,OUT018,1856.345947265625
FDY19,OUT010,358.6388244628906
NCY54,OUT017,2767.9765625
NCL19,OUT018,2333.464111328125
FDP23,OUT010,725.1845703125
FDC26,OUT013,1822.7469482421875
FDR14,OUT010,-42.16731262207031
NCS41,OUT035,3656.695556640625
FDF41,OUT035,3755.332275390625
FDU34,OUT046,2050.336669921875
DRH11,OUT046,1007.072998046875
FDM03,OUT013,2074.529296875
FDS31,OUT017,2894.347900390625
FDJ20,OUT017,1947.5794677734375
FDV44,OUT027,5332.02294921875
FDG02,OUT049,2892.389892578125
FDA09,OUT013,2990.9755859375
FDT04,OUT013,602.5380249023438
FDL58,OUT019,-322.76153564453125
FDE52,OUT045,1467.6937255859375
FDW12,OUT035,2663.120361328125
FDL51,OUT017,3282.10009765625
NCY42,OUT027,3045.2763671875
FDR07,OUT017,1449.9271240234375
FDN40,OUT045,2101.23974609375
FDB35,OUT027,2661.69677734375
FDA22,OUT017,2487.906005859375
NCL06,OUT046,4551.46728515625
FDI35,OUT013,2882.089599609375
NCW42,OUT045,3967.65185546875
NCX06,OUT049,3360.5224609375
FDC37,OUT027,2728.552001953125
FDZ14,OUT018,1756.2518310546875
DRG49,OUT049,3930.569580078125
NCG06,OUT045,3519.8798828125
DRC36,OUT045,2784.625732421875
FDV21,OUT019,221.51376342773438
FDB53,OUT046,2473.70703125
DRP47,OUT019,508.1380615234375
FDA14,OUT013,2519.44287109375
DRC24,OUT035,2591.874267578125
FDW21,OUT018,1438.0450439453125
NCH29,OUT046,1701.8695068359375
FDU58,OUT013,3065.33544921875
FDY27,OUT017,3033.1005859375
FDV56,OUT035,1823.7030029296875
FDT59,OUT046,3599.59521484375
FDB23,OUT046,3758.253173828125
FDR49,OUT045,712.5364379882812
FDB03,OUT010,-121.04467010498047
FDN39,OUT045,2547.599609375
FDX02,OUT027,5920.8623046875
FDQ16,OUT027,2529.211181640625
FDU35,OUT018,1262.77978515625
NCT29,OUT013,2011.67919921875
FDZ27,OUT046,761.8245849609375
FDN57,OUT017,2170.13134765625
FDA03,OUT018,2222.3994140625
FDZ36,OUT045,3139.173095703125
NCU05,OUT013,1095.59814453125
FDT39,OUT018,2024.1298828125
FDK60,OUT017,1454.3944091796875
FDZ25,OUT017,2914.829345703125
FDG12,OUT046,2502.791748046875
DRB01,OUT019,767.4893798828125
NCC43,OUT027,5682.57666015625
FDX13,OUT019,830.8643798828125
FDM22,OUT049,1011.4541625976562
FDJ03,OUT027,1135.388671875
FDU14,OUT018,3959.21826171875
FDB33,OUT010,442.67144775390625
FDP27,OUT046,3460.05712890625
FDO38,OUT010,171.2424774169922
FDE28,OUT027,5904.9013671875
FDO27,OUT035,1527.686279296875
DRL23,OUT027,2588.783935546875
FDS28,OUT046,825.3689575195312
FDX24,OUT013,1383.5880126953125
FDZ02,OUT035,1508.8292236328125
FDL46,OUT045,1640.1239013671875
FDS60,OUT027,4531.4892578125
NCO06,OUT017,569.64501953125
FDO16,OUT035,1407.67919921875
FDC60,OUT049,1419.3021240234375
FDA48,OUT018,3345.47412109375
FDZ36,OUT027,4762.607421875
FDK27,OUT045,1804.315673828125
FDW23,OUT018,443.2942199707031
FDM14,OUT018,1683.9434814453125
FDM14,OUT013,1692.9981689453125
FDW60,OUT018,2585.8603515625
FDE21,OUT013,1973.06396484375
NCM42,OUT035,1809.419677734375
FDY59,OUT010,-182.93231201171875
DRI49,OUT049,1362.734130859375
FDT28,OUT019,272.93365478515625
FDQ22,OUT018,518.33935546875
FDR60,OUT049,1560.5048828125
FDC50,OUT019,120.13574981689453
FDV24,OUT013,2269.759033203125
DRF48,OUT010,-51.390708923339844
FDQ47,OUT046,760.9961547851562
DRN36,OUT049,1501.85107421875
NCY06,OUT035,2483.991455078125
FDE52,OUT035,1619.1668701171875
NCB54,OUT045,1937.778564453125
NCF31,OUT035,2306.74169921875
FDJ08,OUT027,4118.50341796875
NCC07,OUT017,1525.33251953125
NCD19,OUT027,1802.8001708984375
FDL46,OUT049,1879.169677734375
FDM20,OUT045,3946.150146484375
NCI06,OUT010,798.4436645507812
DRM11,OUT035,3741.60546875
NCH07,OUT018,2436.6474609375
FDS23,OUT013,1961.087890625
FDO49,OUT018,515.2323608398438
FDS35,OUT049,1069.6658935546875
DRK39,OUT045,1215.291748046875
DRI39,OUT049,876.7208251953125
FDV04,OUT017,1885.3817138671875
NCN14,OUT035,3109.1513671875
FDH08,OUT013,4750.734375
FDS20,OUT046,3182.162353515625
FDV40,OUT049,1084.70166015625
FDZ48,OUT010,259.813720703125
FDS24,OUT027,2413.797119140625
FDK44,OUT049,2714.584716796875
FDS48,OUT045,2413.54345703125
FDK26,OUT010,463.5068664550781
FDD23,OUT045,3073.354248046875
NCH54,OUT017,2647.013916015625
NCP14,OUT010,548.0909423828125
FDM60,OUT010,4.95109748840332
FDV24,OUT017,2309.94189453125
FDH08,OUT018,3163.84130859375
FDS12,OUT027,3410.228515625
FDR39,OUT027,4658.32958984375
FDP12,OUT027,929.813720703125
DRF60,OUT027,6485.43212890625
FDC09,OUT035,1835.758544921875
FDF50,OUT018,2684.629638671875
FDG28,OUT035,5056.92529296875
NCE19,OUT017,950.534423828125
NCM53,OUT010,218.72430419921875
NCN18,OUT049,1931.006591796875
FDF32,OUT035,3328.98095703125
FDF11,OUT013,3807.443603515625
DRI59,OUT049,3542.634765625
NCG54,OUT035,2792.197998046875
FDM44,OUT046,1593.7750244140625
FDT57,OUT018,3488.37060546875
FDV24,OUT046,2359.53857421875
FDI50,OUT019,748.9703369140625
FDS09,OUT035,717.8203125
NCC31,OUT027,4102.4912109375
FDQ07,OUT019,2147.252197265625
FDC22,OUT017,3222.106689453125
FDZ56,OUT046,2758.122314453125
FDZ40,OUT019,55.93218231201172
FDS46,OUT027,3032.218505859375
DRD24,OUT045,1920.950439453125
FDV45,OUT017,3335.701171875
FDL26,OUT045,2615.635009765625
FDA56,OUT018,1909.1531982421875
FDN27,OUT046,1452.84814453125
FDM20,OUT049,3582.41259765625
FDO16,OUT017,1598.907470703125
FDL03,OUT035,3208.552734375
FDE58,OUT046,2131.34326171875
FDI02,OUT027,2943.73583984375
NCC55,OUT019,158.30270385742188
FDR03,OUT018,2858.39111328125
FDB14,OUT017,1703.19287109375
FDR45,OUT013,4044.9140625
NCN07,OUT017,2315.212890625
FDM51,OUT019,174.45523071289062
FDT52,OUT027,5761.77783203125
FDL26,OUT046,2684.35498046875
NCZ42,OUT046,3929.985595703125
DRI47,OUT019,421.52667236328125
FDW40,OUT013,2107.38818359375
FDN34,OUT046,2802.82373046875
FDS01,OUT035,3086.20458984375
NCG55,OUT045,1724.8895263671875
FDC11,OUT035,1822.3966064453125
FDX35,OUT018,2879.302978515625
NCB06,OUT046,2466.351806640625
FDR09,OUT019,648.5103149414062
FDC53,OUT017,1438.2113037109375
FDY45,OUT013,4807.0361328125
FDA22,OUT010,682.0051879882812
FDE02,OUT035,1548.31689453125
FDW21,OUT045,1767.1705322265625
FDV34,OUT046,1026.0069580078125
FDS59,OUT049,1791.68408203125
NCW17,OUT017,2177.8466796875
NCK54,OUT046,1975.404541015625
