Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1938.0420002593546
FDW14,OUT017,1525.8179713552413
NCN55,OUT010,1322.6503812045396
FDQ58,OUT017,2596.7454794717746
FDY38,OUT027,5784.72925503889
FDH56,OUT046,1738.8298307155628
FDL48,OUT018,386.99324948194334
FDC48,OUT027,2603.532979097935
FDN33,OUT045,1549.791668540956
FDA36,OUT017,3025.9728917788116
FDT44,OUT017,2009.0354295450134
FDQ56,OUT045,1327.252648909077
NCC54,OUT019,1445.7473156312817
FDU11,OUT049,2377.7884436491877
DRL59,OUT013,761.7802690819623
FDM24,OUT049,2901.2053067162315
FDI57,OUT045,3091.2186515900266
DRC12,OUT018,2942.2757752761236
NCM42,OUT027,3205.077381793101
FDA46,OUT010,721.4169298033238
FDA31,OUT013,2737.153297550187
NCJ31,OUT035,3814.092346716361
FDG52,OUT046,688.3163273194452
NCL19,OUT019,359.4244759085104
FDS10,OUT035,3013.35928671466
FDX22,OUT010,948.1643708896911
NCF19,OUT035,775.4815634565649
NCE06,OUT046,2312.6482271610103
DRC27,OUT046,3625.2032103003176
FDE21,OUT035,1979.3177263667499
NCR42,OUT019,-289.8735034814373
FDX51,OUT018,2933.772524003131
NCR06,OUT018,225.9002713674989
FDU31,OUT027,5529.622603381638
FDU59,OUT017,2642.8597386210404
FDR03,OUT027,5197.36743850891
FDS49,OUT027,2509.3255704422268
FDD48,OUT010,170.9944074244145
NCF18,OUT017,3231.138565175409
NCD43,OUT027,2997.0044790942584
NCD54,OUT018,2168.3275127655143
FDY19,OUT010,451.04447057581325
NCY54,OUT017,2803.7644380454103
NCL19,OUT018,2177.2455432177435
FDP23,OUT010,981.8971924567977
FDC26,OUT013,1767.0041529664159
FDR14,OUT010,66.9079149274977
NCS41,OUT035,3033.07235063227
FDF41,OUT035,3919.6259406283225
FDU34,OUT046,1745.4577288900348
DRH11,OUT046,769.9066009623757
FDM03,OUT013,1593.2825143693894
FDS31,OUT017,3056.073264218149
FDJ20,OUT017,2113.076993577907
FDV44,OUT027,4977.954129837361
FDG02,OUT049,3450.2692442536054
FDA09,OUT013,2751.206318806576
FDT04,OUT013,587.1928874894016
FDL58,OUT019,1900.2497302072293
FDE52,OUT045,1471.5204402767788
FDW12,OUT035,2459.9287268161193
FDL51,OUT017,3644.3064179303547
NCY42,OUT027,3970.2029770786603
FDR07,OUT017,1583.4762246720106
FDN40,OUT045,2384.775006889505
FDB35,OUT027,2461.683252204241
FDA22,OUT017,2743.639494336514
NCL06,OUT046,3853.0636821701137
FDI35,OUT013,2778.26551778219
NCW42,OUT045,3403.687976750529
NCX06,OUT049,3176.776173636997
FDC37,OUT027,3100.3932600094513
FDZ14,OUT018,1756.0572966823788
DRG49,OUT049,4251.82205973276
NCG06,OUT045,3918.272603230953
DRC36,OUT045,2807.4439356991793
FDV21,OUT019,246.15496425187138
FDB53,OUT046,2109.976819981548
DRP47,OUT019,1638.2141312060864
FDA14,OUT013,2266.8279569563
DRC24,OUT035,2585.721090156673
FDW21,OUT018,1409.361753923213
NCH29,OUT046,1379.5606155911962
FDU58,OUT013,2994.6863616001465
FDY27,OUT017,2885.090088492187
FDV56,OUT035,1892.5948662076426
FDT59,OUT046,3450.6260827427186
FDB23,OUT046,3349.765183977302
FDR49,OUT045,684.2235215234723
FDB03,OUT010,1345.1563895222591
FDN39,OUT045,2680.043839726848
FDX02,OUT027,5598.734208175416
FDQ16,OUT027,2905.2138338667914
FDU35,OUT018,1339.4401937545276
NCT29,OUT013,1901.0297350397614
FDZ27,OUT046,670.5899622660654
FDN57,OUT017,2423.568665791694
FDA03,OUT018,2222.3267273530246
FDZ36,OUT045,2968.3556422453057
NCU05,OUT013,1185.4238799247848
FDT39,OUT018,2223.1537053538696
FDK60,OUT017,1673.6131363474717
FDZ25,OUT017,2897.867552608586
FDG12,OUT046,1871.0967536040007
DRB01,OUT019,720.2898862784334
NCC43,OUT027,6133.590275140685
FDX13,OUT019,1703.601353444901
FDM22,OUT049,1105.3964096869104
FDJ03,OUT027,1640.7612289471986
FDU14,OUT018,3881.508320620027
FDB33,OUT010,509.19355216043147
FDP27,OUT046,2734.5780154656645
FDO38,OUT010,201.71124972204873
