Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1727.3641357421875
FDW14,OUT017,1582.816162109375
NCN55,OUT010,560.7011108398438
FDQ58,OUT017,2546.00146484375
FDY38,OUT027,5691.86767578125
FDH56,OUT046,1966.2806396484375
FDL48,OUT018,553.2498168945312
FDC48,OUT027,1798.6075439453125
FDN33,OUT045,1551.547119140625
FDA36,OUT017,3109.064208984375
FDT44,OUT017,2078.43798828125
FDQ56,OUT045,1351.210693359375
NCC54,OUT019,564.9181518554688
FDU11,OUT049,2077.6328125
DRL59,OUT013,727.4334106445312
FDM24,OUT049,2768.106201171875
FDI57,OUT045,3377.220947265625
DRC12,OUT018,2796.533447265625
NCM42,OUT027,2775.408203125
FDA46,OUT010,472.2362976074219
FDA31,OUT013,2951.694091796875
NCJ31,OUT035,4087.849365234375
FDG52,OUT046,730.0911865234375
NCL19,OUT019,339.7697448730469
FDS10,OUT035,3130.834228515625
FDX22,OUT010,498.0285949707031
NCF19,OUT035,764.4857788085938
NCE06,OUT046,2558.92822265625
DRC27,OUT046,3961.58935546875
FDE21,OUT035,1988.2642822265625
NCR42,OUT019,77.12879943847656
FDX51,OUT018,2811.34423828125
NCR06,OUT018,480.59814453125
FDU31,OUT027,5522.33251953125
FDU59,OUT017,2681.438720703125
FDR03,OUT027,5250.7568359375
FDS49,OUT027,2258.164306640625
FDD48,OUT010,252.26524353027344
NCF18,OUT017,3339.446533203125
NCD43,OUT027,2740.933349609375
NCD54,OUT018,2067.722412109375
FDY19,OUT010,265.2144775390625
NCY54,OUT017,2852.038330078125
NCL19,OUT018,2135.4560546875
FDP23,OUT010,518.9721069335938
FDC26,OUT013,1827.328857421875
FDR14,OUT010,154.67234802246094
NCS41,OUT035,3126.005126953125
FDF41,OUT035,4162.3515625
FDU34,OUT046,2016.32421875
DRH11,OUT046,962.3217163085938
FDM03,OUT013,1861.9742431640625
FDS31,OUT017,3193.4208984375
FDJ20,OUT017,2134.57080078125
FDV44,OUT027,4942.44970703125
FDG02,OUT049,3105.605224609375
FDA09,OUT013,3014.636474609375
FDT04,OUT013,506.0260314941406
FDL58,OUT019,618.739990234375
FDE52,OUT045,1481.7562255859375
FDW12,OUT035,2505.595458984375
FDL51,OUT017,3775.6572265625
NCY42,OUT027,3656.30029296875
FDR07,OUT017,1492.12158203125
FDN40,OUT045,2416.92236328125
FDB35,OUT027,2474.99169921875
FDA22,OUT017,2697.6884765625
NCL06,OUT046,4179.55029296875
FDI35,OUT013,2973.96337890625
NCW42,OUT045,3730.220703125
NCX06,OUT049,3033.989013671875
FDC37,OUT027,2522.218505859375
FDZ14,OUT018,1810.3046875
DRG49,OUT049,3950.1083984375
NCG06,OUT045,4298.126953125
DRC36,OUT045,2994.129638671875
FDV21,OUT019,291.00701904296875
FDB53,OUT046,2389.2373046875
DRP47,OUT019,589.852783203125
FDA14,OUT013,2386.433837890625
DRC24,OUT035,2656.1806640625
FDW21,OUT018,1495.80078125
NCH29,OUT046,1588.0611572265625
FDU58,OUT013,3113.736328125
FDY27,OUT017,2902.380615234375
FDV56,OUT035,1861.83740234375
FDT59,OUT046,3881.545166015625
FDB23,OUT046,3682.765625
FDR49,OUT045,711.1090087890625
FDB03,OUT010,547.4130249023438
FDN39,OUT045,2852.642333984375
FDX02,OUT027,5547.19970703125
FDQ16,OUT027,2970.037841796875
FDU35,OUT018,1455.6033935546875
NCT29,OUT013,2114.796875
FDZ27,OUT046,842.6068725585938
FDN57,OUT017,2477.944091796875
FDA03,OUT018,1938.1142578125
FDZ36,OUT045,3238.321533203125
NCU05,OUT013,1279.2557373046875
FDT39,OUT018,2231.67041015625
FDK60,OUT017,1520.653076171875
FDZ25,OUT017,3004.35888671875
FDG12,OUT046,2321.22509765625
DRB01,OUT019,449.66552734375
NCC43,OUT027,5930.18896484375
FDX13,OUT019,571.7373657226562
FDM22,OUT049,855.8866577148438
FDJ03,OUT027,1507.44384765625
FDU14,OUT018,3732.339599609375
FDB33,OUT010,398.09991455078125
FDP27,OUT046,3019.0625
FDO38,OUT010,177.3638916015625
FDE28,OUT027,5709.56005859375
FDO27,OUT035,1603.522705078125
DRL23,OUT027,2977.0849609375
FDS28,OUT046,918.6076049804688
FDX24,OUT013,1434.00390625
FDZ02,OUT035,1650.5037841796875
FDL46,OUT045,1851.366943359375
FDS60,OUT027,4544.85205078125
NCO06,OUT017,618.2772216796875
FDO16,OUT035,1369.764404296875
FDC60,OUT049,1566.479248046875
FDA48,OUT018,3292.324951171875
FDZ36,OUT027,4276.4072265625
FDK27,OUT045,1970.163818359375
FDW23,OUT018,421.00518798828125
FDM14,OUT018,1503.7303466796875
FDM14,OUT013,1731.830810546875
FDW60,OUT018,2704.930419921875
FDE21,OUT013,1917.8653564453125
NCM42,OUT035,1766.462158203125
FDY59,OUT010,194.0665740966797
DRI49,OUT049,1333.9945068359375
FDT28,OUT019,365.9223327636719
FDQ22,OUT018,391.7585754394531
FDR60,OUT049,1174.220458984375
FDC50,OUT019,246.09713745117188
FDV24,OUT013,2543.042724609375
DRF48,OUT010,431.51361083984375
FDQ47,OUT046,820.7557373046875
DRN36,OUT049,1572.2679443359375
NCY06,OUT035,2206.977294921875
FDE52,OUT035,1550.0645751953125
NCB54,OUT045,2031.5582275390625
NCF31,OUT035,2506.614501953125
FDJ08,OUT027,5024.04931640625
NCC07,OUT017,1733.4859619140625
NCD19,OUT027,1502.7923583984375
FDL46,OUT049,1900.652587890625
FDM20,OUT045,4018.59521484375
NCI06,OUT010,443.85955810546875
DRM11,OUT035,4144.9658203125
NCH07,OUT018,2315.30517578125
FDS23,OUT013,2110.478515625
FDO49,OUT018,596.0202026367188
FDS35,OUT049,1050.1568603515625
DRK39,OUT045,1318.9306640625
DRI39,OUT049,937.9396362304688
FDV04,OUT017,2712.743408203125
NCN14,OUT035,3146.642333984375
FDH08,OUT013,3882.214111328125
FDS20,OUT046,2957.638671875
FDV40,OUT049,1214.1439208984375
FDZ48,OUT010,246.93675231933594
FDS24,OUT027,2284.760009765625
FDK44,OUT049,2904.0263671875
FDS48,OUT045,2501.972900390625
FDK26,OUT010,470.1340637207031
FDD23,OUT045,3114.115478515625
NCH54,OUT017,2817.164794921875
NCP14,OUT010,231.7740020751953
FDM60,OUT010,136.3262939453125
FDV24,OUT017,2498.759033203125
FDH08,OUT018,3305.7265625
FDS12,OUT027,3598.345458984375
FDR39,OUT027,4709.63623046875
FDP12,OUT027,901.6885986328125
DRF60,OUT027,5754.30908203125
FDC09,OUT035,1723.36279296875
FDF50,OUT018,2956.10791015625
FDG28,OUT035,4129.1044921875
NCE19,OUT017,877.2890014648438
NCM53,OUT010,240.954833984375
NCN18,OUT049,1841.127197265625
FDF32,OUT035,3393.042724609375
FDF11,OUT013,3918.665283203125
DRI59,OUT049,3726.2236328125
NCG54,OUT035,2876.804443359375
FDM44,OUT046,1666.500732421875
FDT57,OUT018,3375.8330078125
FDV24,OUT046,2816.875
FDI50,OUT019,539.7566528320312
FDS09,OUT035,832.3734741210938
NCC31,OUT027,4064.2158203125
FDQ07,OUT019,532.7726440429688
FDC22,OUT017,3159.084716796875
FDZ56,OUT046,2699.603759765625
FDZ40,OUT019,164.38673400878906
FDS46,OUT027,3238.182861328125
DRD24,OUT045,2346.480712890625
FDV45,OUT017,3306.180908203125
FDL26,OUT045,2582.11279296875
FDA56,OUT018,1833.42431640625
FDN27,OUT046,1876.302490234375
FDM20,OUT049,4050.914306640625
FDO16,OUT017,1388.6180419921875
FDL03,OUT035,3422.4052734375
FDE58,OUT046,1891.827880859375
FDI02,OUT027,3000.881591796875
NCC55,OUT019,96.90095520019531
FDR03,OUT018,3012.26025390625
FDB14,OUT017,1394.871337890625
FDR45,OUT013,3926.944580078125
NCN07,OUT017,2298.887939453125
FDM51,OUT019,259.3299255371094
FDT52,OUT027,5935.17041015625
FDL26,OUT046,2485.039306640625
NCZ42,OUT046,3814.80517578125
DRI47,OUT019,350.975341796875
FDW40,OUT013,2337.1875
FDN34,OUT046,2733.00537109375
FDS01,OUT035,3018.60498046875
NCG55,OUT045,1863.739013671875
FDC11,OUT035,1416.5562744140625
FDX35,OUT018,3375.22607421875
NCB06,OUT046,2546.4052734375
FDR09,OUT019,597.585693359375
FDC53,OUT017,1662.417724609375
FDY45,OUT013,4167.56494140625
FDA22,OUT010,389.6760559082031
FDE02,OUT035,1569.0528564453125
FDW21,OUT045,1651.3304443359375
FDV34,OUT046,1264.7720947265625
FDS59,OUT049,1860.510498046875
NCW17,OUT017,2254.91552734375
NCK54,OUT046,1924.307861328125
FDG17,OUT019,565.709716796875
FDG35,OUT017,3098.566162109375
FDD08,OUT010,98.27679443359375
NCO07,OUT017,3460.8818359375
FDJ10,OUT010,328.9870300292969
FDW36,OUT017,1668.5992431640625
FDW21,OUT010,228.00865173339844
FDY19,OUT017,2055.186279296875
DRE03,OUT013,622.2730102539062
NCC55,OUT049,651.119873046875
FDH52,OUT010,151.75531005859375
FDO09,OUT017,4593.66162109375
FDU43,OUT045,4076.338134765625
FDX09,OUT010,419.7335205078125
FDH40,OUT019,214.4993133544922
FDW58,OUT017,1695.1690673828125
FDC47,OUT017,3922.5107421875
NCR41,OUT035,1507.650390625
DRG49,OUT035,3881.3603515625
FDC52,OUT027,4273.0078125
FDY13,OUT046,1242.96923828125
FDY35,OUT013,736.104248046875
FDI35,OUT017,3138.110107421875
