Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,2572.6512
FDW14,OUT017,959.4178
NCN55,OUT010,884.1824
FDQ58,OUT017,3778.415
FDY38,OUT027,5359.69
FDH56,OUT046,2780.3808
FDL48,OUT018,729.051
FDC48,OUT027,241.6854
FDN33,OUT045,661.8052
FDA36,OUT017,2570.6538
FDT44,OUT017,820.2656
FDQ56,OUT045,1929.4884
NCC54,OUT019,723.0588
FDU11,OUT049,1084.5882
DRL59,OUT013,820.2656
FDM24,OUT049,1797.66
FDI57,OUT045,4532.7664
DRC12,OUT018,5182.5872
NCM42,OUT027,2074.6328
FDA46,OUT010,197.7426
FDA31,OUT013,2942.836
NCJ31,OUT035,1687.1372
FDG52,OUT046,640.4996
NCL19,OUT019,213.05599999999998
FDS10,OUT035,9069.5276
FDX22,OUT010,210.3928
NCF19,OUT035,680.4476
NCE06,OUT046,1901.5248
DRC27,OUT046,5650.6446
FDE21,OUT035,1281.665
NCR42,OUT019,173.108
FDX51,OUT018,2749.7540000000004
NCR06,OUT018,167.7816
FDU31,OUT027,7201.2928
FDU59,OUT017,501.3474
FDR03,OUT027,8958.339
FDS49,OUT027,3395.58
FDD48,OUT010,463.3968
NCF18,OUT017,2308.9944
NCD43,OUT027,2036.6822
NCD54,OUT018,1843.6002
FDY19,OUT010,234.3616
NCY54,OUT017,2117.244
NCL19,OUT018,2588.6304
FDP23,OUT010,693.0978
FDC26,OUT013,1366.2216
FDR14,OUT010,110.5228
NCS41,OUT035,2918.8672
FDF41,OUT035,6404.996
FDU34,OUT046,1897.53
DRH11,OUT046,1030.6584
FDM03,OUT013,2679.845
FDS31,OUT017,2563.33
FDJ20,OUT017,1238.388
FDV44,OUT027,2293.0152
FDG02,OUT049,3605.3070000000002
FDA09,OUT013,4889.6352
FDT04,OUT013,796.9626
FDL58,OUT019,256.33299999999997
FDE52,OUT045,2554.0088
FDW12,OUT035,2157.192
FDL51,OUT017,2217.114
NCY42,OUT027,2127.231
FDR07,OUT017,3765.099
FDN40,OUT045,2524.0478
FDB35,OUT027,1737.7379999999998
FDA22,OUT017,2840.9686
NCL06,OUT046,3155.8920000000003
FDI35,OUT013,5452.901999999999
NCW42,OUT045,1923.4962
NCX06,OUT049,2336.958
FDC37,OUT027,3057.3536
FDZ14,OUT018,1384.1982
DRG49,OUT049,7086.1094
NCG06,OUT045,4346.3424
DRC36,OUT045,4483.4972
FDV21,OUT019,755.0172
FDB53,OUT046,3877.6192
DRP47,OUT019,251.6724
FDA14,OUT013,1904.1879999999999
DRC24,OUT035,1062.6168
FDW21,OUT018,1651.184
NCH29,OUT046,2799.6890000000003
FDU58,OUT013,2619.2572
FDY27,OUT017,1784.344
FDV56,OUT035,1186.4556
FDT59,OUT046,1842.9344
FDB23,OUT046,5642.655
FDR49,OUT045,1198.44
FDB03,OUT010,889.5088
FDN39,OUT045,3073.9986
FDX02,OUT027,7158.6816
FDQ16,OUT027,1973.4312
FDU35,OUT018,1358.8978
NCT29,OUT013,2709.8059999999996
FDZ27,OUT046,437.4306
FDN57,OUT017,1701.7848
FDA03,OUT018,2187.153
FDZ36,OUT045,4570.0512
NCU05,OUT013,2746.425
FDT39,OUT018,1043.9744
FDK60,OUT017,2857.6136
FDZ25,OUT017,3735.138
FDG12,OUT046,2463.46
DRB01,OUT019,195.7452
NCC43,OUT027,5522.811
FDX13,OUT019,982.7208
FDM22,OUT049,1185.124
FDJ03,OUT027,1298.31
FDU14,OUT018,3616.6256
FDB33,OUT010,657.8104
FDP27,OUT046,5020.1320000000005
FDO38,OUT010,154.4656
FDE28,OUT027,7883.071999999999
FDO27,OUT035,3282.3940000000002
DRL23,OUT027,4036.7454
FDS28,OUT046,1030.6584
FDX24,OUT013,2221.1088
FDZ02,OUT035,1332.9316
FDL46,OUT045,2607.2728
FDS60,OUT027,2854.9504
NCO06,OUT017,575.2512
FDO16,OUT035,1165.15
FDC60,OUT049,2833.6448
FDA48,OUT018,5851.0504
FDZ36,OUT027,2057.9878
FDK27,OUT045,1938.8096
FDW23,OUT018,446.7518
FDM14,OUT018,1617.894
FDM14,OUT013,1743.0644
FDW60,OUT018,1411.496
FDE21,OUT013,1281.665
NCM42,OUT035,2542.0244
FDY59,OUT010,94.5436
DRI49,OUT049,1288.9888
FDT28,OUT019,151.1366
FDQ22,OUT018,346.216
FDR60,OUT049,1324.2762
FDC50,OUT019,402.1432
FDV24,OUT013,2153.1972
DRF48,OUT010,379.506
FDQ47,OUT046,607.2096
DRN36,OUT049,1587.2672
NCY06,OUT035,2348.9424
FDE52,OUT035,2109.2544
NCB54,OUT045,1780.3492
NCF31,OUT035,1853.5872
FDJ08,OUT027,5752.512
NCC07,OUT017,1788.3388
NCD19,OUT027,2129.2284
FDL46,OUT049,3199.8348
FDM20,OUT045,6615.3888
NCI06,OUT010,359.532
DRM11,OUT035,2863.6058
NCH07,OUT018,2599.2832
FDS23,OUT013,2698.4874
FDO49,OUT018,354.2056
FDS35,OUT049,1853.5872
DRK39,OUT045,1414.825
DRI39,OUT049,1545.9876
FDV04,OUT017,1414.1592
NCN14,OUT035,1470.0864
FDH08,OUT013,2541.3586
FDS20,OUT046,4925.5884
FDV40,OUT049,463.3968
FDZ48,OUT010,223.7088
FDS24,OUT027,1973.4312
FDK44,OUT049,347.5476
FDS48,OUT045,1504.7079999999999
FDK26,OUT010,563.2668
FDD23,OUT045,2057.9878
NCH54,OUT017,4711.2008
NCP14,OUT010,215.7192
FDM60,OUT010,89.2172
FDV24,OUT017,1294.3152
FDH08,OUT018,3835.008
FDS12,OUT027,4376.9692
FDR39,OUT027,4604.6728
FDP12,OUT027,988.0472
DRF60,OUT027,7150.691999999999
FDC09,OUT035,525.982
FDF50,OUT018,1755.7146
FDG28,OUT035,1225.072
NCE19,OUT017,539.298
NCM53,OUT010,117.8466
NCN18,OUT049,1637.868
FDF32,OUT035,1977.4260000000002
FDF11,OUT013,2403.538
DRI59,OUT049,4274.436
NCG54,OUT035,3124.5994
FDM44,OUT046,309.597
FDT57,OUT018,1705.7796
FDV24,OUT046,2871.5954
FDI50,OUT019,228.3694
FDS09,OUT035,1062.6168
NCC31,OUT027,3368.948
FDQ07,OUT019,1078.596
FDC22,OUT017,2703.1479999999997
FDZ56,OUT046,2863.6058
FDZ40,OUT019,111.8544
FDS46,OUT027,2844.2976
DRD24,OUT045,2669.1922
FDV45,OUT017,2816.3340000000003
FDL26,OUT045,3894.93
FDA56,OUT018,1114.5492
FDN27,OUT046,1523.3504
FDM20,OUT049,6972.2576
FDO16,OUT017,1414.825
FDL03,OUT035,4586.0304
FDE58,OUT046,2356.9320000000002
FDI02,OUT027,3914.9040000000005
NCC55,OUT019,33.9558
FDR03,OUT018,2475.4444
FDB14,OUT017,1314.2892
FDR45,OUT013,4541.4218
NCN07,OUT017,642.497
FDM51,OUT019,206.398
FDT52,OUT027,8262.578000000001
FDL26,OUT046,4623.3152
NCZ42,OUT046,731.0484
DRI47,OUT019,431.4384
FDW40,OUT013,3277.0676
FDN34,OUT046,2367.5848
FDS01,OUT035,3067.3406
NCG55,OUT045,2828.3184
FDC11,OUT035,515.3292
FDX35,OUT018,480.7076
NCB06,OUT046,1597.92
FDR09,OUT019,934.7832
FDC53,OUT017,868.8689999999999
FDY45,OUT013,5757.8384
FDA22,OUT010,334.2316
FDE02,OUT035,2628.5784
FDW21,OUT045,2954.1546
