Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,2118.3875665464298
FDW14,OUT017,1329.889902976695
NCN55,OUT010,2215.6424085078434
FDQ58,OUT017,2032.5373585779673
FDY38,OUT027,4116.402327637773
FDH56,OUT046,1955.283372261216
FDL48,OUT018,1622.511797647291
FDC48,OUT027,2639.499253785202
FDN33,OUT045,1615.5887571960511
FDA36,OUT017,2364.071281514782
FDT44,OUT017,1513.1472780897868
FDQ56,OUT045,1485.2528248936108
NCC54,OUT019,2269.719995441485
FDU11,OUT049,2109.52610349119
DRL59,OUT013,1214.803336654387
FDM24,OUT049,2478.478105598814
FDI57,OUT045,2758.3825005796357
DRC12,OUT018,3135.115938184302
NCM42,OUT027,2923.4034744572705
FDA46,OUT010,1565.2710153760574
FDA31,OUT013,2341.284789863358
NCJ31,OUT035,2914.8620346262664
FDG52,OUT046,1190.897697778031
NCL19,OUT019,1480.8804465152002
FDS10,OUT035,2535.971957668747
FDX22,OUT010,2017.6163489121254
NCF19,OUT035,1147.256789784414
NCE06,OUT046,2326.2699892759215
DRC27,OUT046,3243.4965464729553
FDE21,OUT035,1878.0313154830023
NCR42,OUT019,268.0934508000743
FDX51,OUT018,3221.9079458707115
NCR06,OUT018,1622.2428127385137
FDU31,OUT027,4093.1196515963475
FDU59,OUT017,1986.2616706241433
FDR03,OUT027,3995.4611695175545
FDS49,OUT027,2535.441281701199
FDD48,OUT010,954.7092977327846
NCF18,OUT017,2304.809236563111
NCD43,OUT027,2879.548155449213
NCD54,OUT018,2640.2646386463907
FDY19,OUT010,965.5194883642035
NCY54,OUT017,1967.6682366807222
NCL19,OUT018,2674.216729677273
FDP23,OUT010,2008.3777751933826
FDC26,OUT013,1663.6101905376215
FDR14,OUT010,-23.633103471559323
NCS41,OUT035,2523.5203854208016
FDF41,OUT035,3069.9666861704995
FDU34,OUT046,1987.2602365344026
DRH11,OUT046,1267.9943672434606
FDM03,OUT013,1620.8144859871509
FDS31,OUT017,2297.547349790843
FDJ20,OUT017,1606.0620441681315
FDV44,OUT027,3767.194945947485
FDG02,OUT049,2931.9057715113377
FDA09,OUT013,2618.7602261504553
FDT04,OUT013,936.3827028695827
FDL58,OUT019,2611.347356734404
FDE52,OUT045,1699.171458164421
FDW12,OUT035,2185.9300846441183
FDL51,OUT017,2648.1310200581015
NCY42,OUT027,3272.425094729179
FDR07,OUT017,1333.5751369086368
FDN40,OUT045,2211.7449970035714
FDB35,OUT027,2720.8617992774775
FDA22,OUT017,2036.651794932129
NCL06,OUT046,3412.457836641486
FDI35,OUT013,2528.776619806058
NCW42,OUT045,2984.1648887543333
NCX06,OUT049,2847.9571105880113
FDC37,OUT027,2898.8950518441684
FDZ14,OUT018,2421.7794155707384
DRG49,OUT049,3439.0403706922443
NCG06,OUT045,3387.5293686724344
DRC36,OUT045,2553.465498230907
FDV21,OUT019,869.3455950777936
FDB53,OUT046,2120.1469577063353
DRP47,OUT019,2273.2625239465465
FDA14,OUT013,2107.5992581353385
DRC24,OUT035,2261.696103180878
FDW21,OUT018,2269.5608535343213
NCH29,OUT046,1751.3645125504077
FDU58,OUT013,2661.403611087357
FDY27,OUT017,2230.768259394172
FDV56,OUT035,1860.5591944900607
FDT59,OUT046,3160.657158703047
FDB23,OUT046,3186.668759899544
FDR49,OUT045,1024.803113963802
FDB03,OUT010,2003.031510185679
FDN39,OUT045,2543.3159790852956
FDX02,OUT027,4056.9015079040582
FDQ16,OUT027,2889.013236190742
FDU35,OUT018,2086.3064267048067
NCT29,OUT013,1871.8238468929114
FDZ27,OUT046,1266.120092311979
FDN57,OUT017,1827.5662970216931
FDA03,OUT018,2674.264293018841
FDZ36,OUT045,2625.8335880225904
NCU05,OUT013,1454.8665543113275
FDT39,OUT018,2784.5998996565895
FDK60,OUT017,1346.3285962990035
FDZ25,OUT017,2201.0047347552186
FDG12,OUT046,2089.015811012938
DRB01,OUT019,1803.9670143034928
NCC43,OUT027,4283.945691975237
FDX13,OUT019,2479.9084932480187
FDM22,OUT049,1534.701638545315
FDJ03,OUT027,2267.352027463735
FDU14,OUT018,3781.6396388103763
FDB33,OUT010,1474.0763320218239
FDP27,OUT046,2588.2830672242007
FDO38,OUT010,463.33970468609067
FDE28,OUT027,4070.842623811158
FDO27,OUT035,1455.0346508916898
DRL23,OUT027,2924.267410633183
FDS28,OUT046,1289.3763452348885
FDX24,OUT013,1632.9008095786978
FDZ02,OUT035,1682.300756315097
FDL46,OUT045,1911.4127772820011
FDS60,OUT027,3635.250124529948
NCO06,OUT017,625.992458666678
FDO16,OUT035,1552.8505992290145
FDC60,OUT049,1755.9630435454108
FDA48,OUT018,3284.8113720343667
FDZ36,OUT027,3798.197977139772
FDK27,OUT045,2011.2534245384463
FDW23,OUT018,1451.584464018932
FDM14,OUT018,2308.90446091323
FDM14,OUT013,1803.656106320237
FDW60,OUT018,3039.361919870586
FDE21,OUT013,1875.8803267618512
NCM42,OUT035,1793.242398147477
FDY59,OUT010,741.6657379190891
DRI49,OUT049,1561.1467088440293
FDT28,OUT019,1433.4908894977882
FDQ22,OUT018,1563.762573599694
FDR60,OUT049,1581.468900507061
FDC50,OUT019,645.5658000411279
FDV24,OUT013,2104.2519382934192
DRF48,OUT010,1815.8011545060715
FDQ47,OUT046,948.3910175511639
DRN36,OUT049,1939.0539703842185
NCY06,OUT035,1947.4612643480475
FDE52,OUT035,1627.2917010590888
NCB54,OUT045,2007.409178589519
NCF31,OUT035,2206.3704051370096
FDJ08,OUT027,3625.167661469761
NCC07,OUT017,1516.8873583193674
NCD19,OUT027,2369.5230546213684
FDL46,OUT049,2244.9280914688297
FDM20,OUT045,3260.871706816545
NCI06,OUT010,1606.8680971615174
DRM11,OUT035,3286.352954501824
NCH07,OUT018,2689.658069970507
FDS23,OUT013,1813.937093837708
FDO49,OUT018,1685.4113447357665
FDS35,OUT049,1492.3577521310701
DRK39,OUT045,1542.005442908097
DRI39,OUT049,1448.7217252874746
FDV04,OUT017,1886.0966875916577
NCN14,OUT035,2463.3386731999967
FDH08,OUT013,3069.083742210153
FDS20,OUT046,2609.2826772448907
FDV40,OUT049,1760.015858975178
FDZ48,OUT010,803.4482240168999
FDS24,OUT027,2686.8289815505946
FDK44,OUT049,2616.453377870161
FDS48,OUT045,2327.447206512626
FDK26,OUT010,1748.3273491302573
FDD23,OUT045,2700.2376320271096
NCH54,OUT017,2009.1664623716129
NCP14,OUT010,672.8066619030668
FDM60,OUT010,178.05293420333544
FDV24,OUT017,1839.971488406085
FDH08,OUT018,3530.760018749744
FDS12,OUT027,2873.7212877821735
FDR39,OUT027,3583.5387429928123
FDP12,OUT027,2175.6480143242843
DRF60,OUT027,4208.809255691438
FDC09,OUT035,1775.5045171372524
FDF50,OUT018,3054.1390702359404
FDG28,OUT035,3197.066051539572
NCE19,OUT017,874.5859477562096
NCM53,OUT010,851.2818475542427
NCN18,OUT049,2149.312337741304
FDF32,OUT035,2665.742086947056
FDF11,OUT013,3210.343538221764
DRI59,OUT049,3267.6624289187675
NCG54,OUT035,2339.807495939197
FDM44,OUT046,1801.8544213553557
FDT57,OUT018,3618.0603563421723
FDV24,OUT046,2192.940938124413
FDI50,OUT019,2355.8236739019935
FDS09,OUT035,1156.7916678843728
NCC31,OUT027,3403.6455028711434
FDQ07,OUT019,2116.5186445378604
FDC22,OUT017,2265.8920069010137
FDZ56,OUT046,2517.5028579109403
FDZ40,OUT019,485.6670115964769
FDS46,OUT027,3040.4247605754413
DRD24,OUT045,2189.5926947436355
FDV45,OUT017,2346.2707312866455
FDL26,OUT045,2272.0997175044354
FDA56,OUT018,2449.419576252734
FDN27,OUT046,1972.7789116448173
FDM20,OUT049,3475.758291794552
FDO16,OUT017,1274.8740684460254
FDL03,OUT035,2743.9754765864777
FDE58,OUT046,1942.1332240724225
FDI02,OUT027,2859.4204551934204
NCC55,OUT019,269.89203215180186
FDR03,OUT018,3360.268632372479
FDB14,OUT017,1290.5044718980537
FDR45,OUT013,3162.259528513374
NCN07,OUT017,1750.280093518747
FDM51,OUT019,1077.2824889998853
FDT52,OUT027,4337.857908310587
FDL26,OUT046,2284.9266754632536
NCZ42,OUT046,3260.1919868752666
DRI47,OUT019,1495.7469439809722
FDW40,OUT013,2046.4965083360794
FDN34,OUT046,2607.1655867637132
FDS01,OUT035,2523.1753017171472
NCG55,OUT045,1920.2973086011737
FDC11,OUT035,1403.3962366790831
FDX35,OUT018,3443.9340927481358
NCB06,OUT046,2338.3819294933505
FDR09,OUT019,2532.2370493429025
FDC53,OUT017,1433.5852122756985
FDY45,OUT013,3361.405668497666
FDA22,OUT010,1388.9946743288117
FDE02,OUT035,1496.2745189627346
FDW21,OUT045,1852.9009411950942
FDV34,OUT046,1594.2354092473672
FDS59,OUT049,2101.7441942795217
NCW17,OUT017,1747.9316543001282
NCK54,OUT046,1970.9552770564935
FDG17,OUT019,2512.9775180652055
FDG35,OUT017,2300.3870421319184
FDD08,OUT010,155.78986217212292
NCO07,OUT017,2622.4367558457734
FDJ10,OUT010,1038.1923089913134
FDW36,OUT017,1427.9873768885122
FDW21,OUT010,952.8668583931743
FDY19,OUT017,1610.246626622585
DRE03,OUT013,1157.8493677161105
NCC55,OUT049,1295.5279232089756
FDH52,OUT010,444.1304993612342
FDO09,OUT017,3043.4338318798527
FDU43,OUT045,3211.2849549781495
FDX09,OUT010,1506.5196004390903
FDH40,OUT019,727.254259155286
FDW58,OUT017,1530.8529234897787
FDC47,OUT017,2622.8468503975996
NCR41,OUT035,1662.1441129675566
DRG49,OUT035,3140.980703723061
FDC52,OUT027,3439.0547627472874
FDY13,OUT046,1521.8454044902367
FDY35,OUT013,1178.7506336150875
FDI35,OUT017,2275.4974903113066
NCU18,OUT049,2381.9283906165924
FDY33,OUT018,2732.120421745361
FDC15,OUT027,3188.4451210683023
FDU01,OUT049,2979.000272289027
NCU42,OUT046,2526.8644388674898
NCV29,OUT018,2997.3920580577847
