Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1759.5128033663907
FDW14,OUT017,1185.1899330000208
NCN55,OUT010,2185.519430689955
FDQ58,OUT017,2092.3287848268856
FDY38,OUT027,4616.507531796863
FDH56,OUT046,1808.775089078653
FDL48,OUT018,1304.0256299108162
FDC48,OUT027,2425.8597714780963
FDN33,OUT045,1287.3587293868525
FDA36,OUT017,2524.9960666934394
FDT44,OUT017,1537.9066853549932
FDQ56,OUT045,1074.2744452451636
NCC54,OUT019,2632.5886687492357
FDU11,OUT049,1962.2726219626832
DRL59,OUT013,552.3664947809859
FDM24,OUT049,2431.931459969838
FDI57,OUT045,2656.059791360637
DRC12,OUT018,3265.7155206093785
NCM42,OUT027,2843.708633518033
FDA46,OUT010,1501.946049532465
FDA31,OUT013,2280.354127096366
NCJ31,OUT035,3223.609446794745
FDG52,OUT046,766.3177571915633
NCL19,OUT019,1287.0111150950372
FDS10,OUT035,2418.143789146362
FDX22,OUT010,1819.551072402178
NCF19,OUT035,556.9175066504297
NCE06,OUT046,2376.360995024942
DRC27,OUT046,3527.8308981350756
FDE21,OUT035,1521.8851865628942
NCR42,OUT019,-256.5220159656772
FDX51,OUT018,3376.3901668079243
NCR06,OUT018,1172.2261335113483
FDU31,OUT027,4407.770542238858
FDU59,OUT017,2195.7485142501146
FDR03,OUT027,4228.684813473989
FDS49,OUT027,2411.2669856328184
FDD48,OUT010,393.8037654243719
NCF18,OUT017,2576.021753389451
NCD43,OUT027,2752.2300711029575
NCD54,OUT018,2569.12976425899
FDY19,OUT010,418.98421551817336
NCY54,OUT017,2325.6969733908527
NCL19,OUT018,2605.073643691937
FDP23,OUT010,1847.9845162944305
FDC26,OUT013,1387.032654765176
FDR14,OUT010,-454.7493459616624
NCS41,OUT035,2455.667522693552
FDF41,OUT035,3351.278922975097
FDU34,OUT046,1849.7434442278293
DRH11,OUT046,912.4756603143189
FDM03,OUT013,1315.6517410032877
FDS31,OUT017,2492.5303390632953
FDJ20,OUT017,1647.0215150698543
FDV44,OUT027,4002.3408811984455
FDG02,OUT049,2904.2512503950466
FDA09,OUT013,2420.4345030170853
FDT04,OUT013,344.5513864177803
FDL58,OUT019,3048.23403630134
FDE52,OUT045,1202.7654186013654
FDW12,OUT035,1977.0468029575543
FDL51,OUT017,2951.4921999218395
NCY42,OUT027,3289.1587284382304
FDR07,OUT017,1230.8651236293565
FDN40,OUT045,2021.0399132962968
FDB35,OUT027,2624.734872464561
FDA22,OUT017,2235.7833725364007
NCL06,OUT046,3781.8827613349904
FDI35,OUT013,2378.0395935627794
NCW42,OUT045,2975.0102700400794
NCX06,OUT049,2771.652144473662
FDC37,OUT027,2792.2954747144586
FDZ14,OUT018,2349.784869995635
DRG49,OUT049,3702.6657060336483
NCG06,OUT045,3468.2574787398817
DRC36,OUT045,2381.4277370397076
FDV21,OUT019,1011.422513679235
FDB53,OUT046,2171.020528054808
DRP47,OUT019,2792.3093570632236
FDA14,OUT013,1849.2545969127143
DRC24,OUT035,2030.4083160889834
FDW21,OUT018,2067.9313223330437
NCH29,OUT046,1486.1799607399928
FDU58,OUT013,2555.108382433541
FDY27,OUT017,2396.0620745038805
FDV56,OUT035,1471.0069136683717
FDT59,OUT046,3332.26384463687
FDB23,OUT046,3332.2712995599622
FDR49,OUT045,512.0930660197203
FDB03,OUT010,2213.1197838322014
FDN39,OUT045,2259.737621087498
FDX02,OUT027,4405.465391096358
FDQ16,OUT027,2784.5393578419435
FDU35,OUT018,1961.749177542258
NCT29,OUT013,1538.350189182934
FDZ27,OUT046,788.1821685142761
FDN57,OUT017,1861.357915267244
FDA03,OUT018,2656.089589569591
FDZ36,OUT045,2540.309295793898
NCU05,OUT013,965.8859744238991
FDT39,OUT018,2769.762558217609
FDK60,OUT017,1294.9039203190089
FDZ25,OUT017,2321.220796209772
FDG12,OUT046,1884.3799769368172
DRB01,OUT019,1978.660577404987
NCC43,OUT027,4808.19748053089
FDX13,OUT019,2771.939708602081
FDM22,OUT049,1058.5552327027192
FDJ03,OUT027,2026.0499595735648
FDU14,OUT018,4064.8814839734305
FDB33,OUT010,1023.6845636744013
FDP27,OUT046,2779.7280441221274
FDO38,OUT010,-148.64917722365755
FDE28,OUT027,4593.134619970621
FDO27,OUT035,1279.7828223440204
DRL23,OUT027,2783.9194077898255
FDS28,OUT046,949.4283375982279
FDX24,OUT013,1127.4395525735138
FDZ02,OUT035,1304.998438810869
FDL46,OUT045,1508.8622846367336
FDS60,OUT027,3772.2706658339057
NCO06,OUT017,340.2408686725368
FDO16,OUT035,1087.4097100855554
FDC60,OUT049,1526.427552249644
FDA48,OUT018,3638.011849115942
FDZ36,OUT027,3972.0064065923843
FDK27,OUT045,1580.9247227311182
FDW23,OUT018,1110.5296533438934
FDM14,OUT018,2110.2263448736094
FDM14,OUT013,1341.5684961126074
FDW60,OUT018,3130.8028974770905
FDE21,OUT013,1461.4746157780367
NCM42,OUT035,1437.1441291686763
FDY59,OUT010,116.04802779328492
DRI49,OUT049,1374.7806555629552
FDT28,OUT019,1395.187805619292
FDQ22,OUT018,1126.8486746823157
FDR60,OUT049,1295.7261822727717
FDC50,OUT019,575.5158512513929
FDV24,OUT013,1950.310362514928
DRF48,OUT010,1472.3589802263498
FDQ47,OUT046,661.3670239563355
DRN36,OUT049,1617.7131204435475
NCY06,OUT035,1684.8301765103508
FDE52,OUT035,1204.1283304928122
NCB54,OUT045,1663.936943681217
NCF31,OUT035,2034.1625854341958
FDJ08,OUT027,3941.542300155056
NCC07,OUT017,1376.5196756512207
NCD19,OUT027,2056.3769233729627
FDL46,OUT049,1916.8286642259602
FDM20,OUT045,3333.4671006767358
NCI06,OUT010,1332.1917465695926
DRM11,OUT035,3530.8066311247576
NCH07,OUT018,2785.8156912482855
FDS23,OUT013,1635.1326118401532
FDO49,OUT018,1316.1819167123879
FDS35,OUT049,1151.3904686622857
DRK39,OUT045,1038.7968202185123
DRI39,OUT049,1051.3369292669934
FDV04,OUT017,2162.4650238912045
NCN14,OUT035,2432.7950693361245
FDH08,OUT013,3080.01327722766
FDS20,OUT046,2675.7022216161467
FDV40,OUT049,1298.394821156083
FDZ48,OUT010,320.31827212386014
FDS24,OUT027,2548.8602363324435
FDK44,OUT049,2673.2354291471174
FDS48,OUT045,1978.615356328691
FDK26,OUT010,1489.3140048627877
FDD23,OUT045,2597.4633764709915
NCH54,OUT017,2157.4072228774503
NCP14,OUT010,285.29858957465075
FDM60,OUT010,-597.4579526449149
FDV24,OUT017,2011.9768468271116
FDH08,OUT018,3789.763597215152
FDS12,OUT027,3055.918625492265
FDR39,OUT027,3805.614245159454
FDP12,OUT027,1855.5490647160561
DRF60,OUT027,4616.404008461269
FDC09,OUT035,1382.9038110714584
FDF50,OUT018,3351.6366215872595
FDG28,OUT035,3369.607275399937
NCE19,OUT017,676.1302909854905
NCM53,OUT010,302.88036330240465
NCN18,OUT049,1820.2904699847252
FDF32,OUT035,2667.017485181136
FDF11,OUT013,3264.9240701835415
DRI59,OUT049,3412.7423090611164
NCG54,OUT035,2261.68267511865
FDM44,OUT046,1527.5087884594516
FDT57,OUT018,3889.1864151024683
FDV24,OUT046,2219.6461883644633
FDI50,OUT019,2543.961973073984
FDS09,OUT035,673.9198462056277
NCC31,OUT027,3471.275776946136
FDQ07,OUT019,2397.8605085926
FDC22,OUT017,2652.095441377741
FDZ56,OUT046,2474.3576193630915
FDZ40,OUT019,44.10257233002011
FDS46,OUT027,3007.4267272665575
DRD24,OUT045,1857.6298964020946
FDV45,OUT017,2549.0661767936735
FDL26,OUT045,2041.3536979983667
FDA56,OUT018,2304.656558666674
FDN27,OUT046,1751.7769062880664
FDM20,OUT049,3688.524776401745
FDO16,OUT017,1071.9198444782062
FDL03,OUT035,2684.0288592787592
FDE58,OUT046,1742.024951657256
FDI02,OUT027,2900.7602122104627
NCC55,OUT019,-170.71786700588456
FDR03,OUT018,3519.1631360447254
FDB14,OUT017,1226.39478591173
FDR45,OUT013,3219.6968807521234
NCN07,OUT017,1715.472767101591
FDM51,OUT019,787.6475323037714
FDT52,OUT027,4785.521571973518
FDL26,OUT046,2248.859628982832
NCZ42,OUT046,3467.066463593369
DRI47,OUT019,1327.1018325462912
FDW40,OUT013,1852.8194772693143
FDN34,OUT046,2547.454444042033
FDS01,OUT035,2387.715382761894
NCG55,OUT045,1502.8578500622218
FDC11,OUT035,1093.9922527096617
FDX35,OUT018,3804.7193950235423
NCB06,OUT046,2340.6545037759543
FDR09,OUT019,2916.9479666742454
FDC53,OUT017,1264.8998498349513
FDY45,OUT013,3412.387984604259
FDA22,OUT010,1170.9147264109317
FDE02,OUT035,1212.3550821249858
FDW21,OUT045,1377.9601389228967
FDV34,OUT046,1213.8843875009854
FDS59,OUT049,1826.8492288635582
NCW17,OUT017,1684.5450214718996
NCK54,OUT046,1754.3579489813249
FDG17,OUT019,2778.4984285496803
FDG35,OUT017,2385.072800711442
FDD08,OUT010,-663.5387256054444
NCO07,OUT017,2874.2692087852092
FDJ10,OUT010,853.626305607196
FDW36,OUT017,1346.1542159363573
FDW21,OUT010,306.8182493587712
FDY19,OUT017,1537.0861415393786
DRE03,OUT013,472.9761689269155
NCC55,OUT049,786.9206054221843
FDH52,OUT010,-247.44866464692205
FDO09,OUT017,3662.721223903024
FDU43,OUT045,3278.846245074591
FDX09,OUT010,1261.4834369426146
FDH40,OUT019,498.8874093825372
FDW58,OUT017,1359.4748275501017
FDC47,OUT017,3075.819625600202
NCR41,OUT035,1205.5787940751445
DRG49,OUT035,3333.553905190439
FDC52,OUT027,3487.916266612575
FDY13,OUT046,1147.9060424408392
FDY35,OUT013,491.45349664985514
FDI35,OUT017,2453.790592092967
NCU18,OUT049,2228.260180724542
FDY33,OUT018,2849.381698452319
FDC15,OUT027,3463.5610039868816
FDU01,OUT049,2910.723014572087
NCU42,OUT046,2495.600889536753
NCV29,OUT018,3066.703675026588
NCY30,OUT017,2452.1515559031877
FDQ46,OUT049,1829.8016152908651
FDG58,OUT027,3511.0601141420966
FDK33,OUT017,2890.087338531089
NCD07,OUT045,1505.6729114539532
NCX29,OUT027,3313.147085069887
NCT42,OUT013,1925.3468837470402
DRN59,OUT035,522.3499184746554
FDI44,OUT035,978.1857683901228
FDA45,OUT049,2723.6362664696253
FDP31,OUT045,823.573383836346
FDY01,OUT046,1757.5737210932905
FDT09,OUT018,2500.4217414277127
DRH03,OUT027,2611.792389580679
FDA36,OUT018,3195.43435886884
NCF31,OUT017,2055.105565282928
